Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
Narla,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Case worm   ,  Mild to moderate ,PTI  ,"83.3866,20.0571",
,Raipur Chhattisgarh ,05-10-2013   ,Paddy   ,    Maho & Blast    ,  Mild to moderate ,"Newspaper,Magazine,Report  ","82.1683,21.0687",
,Raipur Chhattisgarh ,18-10-2013   ,Banana   ,   Wiered worms    ,  Moderate ,Farmnest  ,"82.1683,21.0687",
,Kalahandi Orissa    ,09-10-2013   ,Cotton   ,   White fly   ,  Moderate to High ,PTI  ,"83.1021,19.8617",
,Kalahandi Orissa    ,09-10-2013   ,Leafy Vegetables   , Leafy Minor & Mealy Bug ,  Low  ,PTI  ,"83.1021,19.8617",
Bhimapar,Ghazipur Uttar Pradesh ,25-09-2013   ,Paddy   ,    Stem Borer  ,  Low  ,Online report  ,"83.5489,25.6238",
rangayapalem,Prakasam Andhra Pradesh    ,09-09-2013   ,Groundnut   ,    cercospora sp   ,  Low to Moderate  ,pest suveillance  ,"79.5099,15.6113",
,Indore Madhya Pradesh   ,02-10-2013   ,Soyabean   , Cowpea Mottle   ,  Mild ,The Plant Health News  ,"75.7814,22.7163",
,Thiruvananthapuram Kerala   ,07-10-2013   ,Paddy   ,    Leaf folder ,  High ,"Newspaper,Magazine,Report  ","77.0116,8.60229",
,Nagpur Maharashtra  ,24-10-2013   ,Cotton   ,   Sap sucking pest    ,  Moderate ,CRIDA Report  ,"79.0826,21.1778",
,Wardha Maharashtra  ,24-10-2013   ,Red gram   , Leaf roller ,  Moderate ,Online report  ,"78.5827,20.7963",
,Akola Maharashtra   ,24-10-2013   ,Red gram   , Leaf Roller ,  Moderate ,Online report  ,"77.0446,20.7503",
,Raipur Chhattisgarh ,24-10-2013   ,Paddy   ,"    Stem Borer, Hispa,Leaf Blast    ",  Low  ,CRIDA  report  ,"82.1683,21.0687",
,Raj Nandgaon Chhattisgarh   ,24-10-2013   ,Paddy   ,"    Leaf folder, stem Borer,Hispa & Grass Hopper    ",  Low  ,CRIDA  report  ,"80.8174,21.0373",
,Nasik Maharashtra   ,24-10-2013   ,Brinjal    , Spider Mite ,  Low  ,Farmnest.com  ,"74.0744,20.2613",
,Jalgaon Maharashtra ,28-10-2013   ,Jowar   ,    Shoot fly & Stem Borer  ,  Mild ,,"75.4902,20.9363",
,Buldana Maharashtra ,28-10-2013   ,Jowar   ,    Stem Borer & Shoot fly  ,  Mild ,,"76.4041,20.5096",
,Ahmednagar Maharashtra  ,28-10-2013   ,Gram   , Pod borer   ,  Mild ,Online report  ,"74.6455,19.2332",
,Buldana Maharashtra ,28-10-2013   ,Red gram   , Leaf Roller ,  Low to Moderate  ,Online report  ,"76.4041,20.5096",
